Company Name,Rating,Total Reviews,Industry,Headquarters,Primary HQ
Clover Infotech,3.3,1700,IT Services & Consulting,Mumbai +23 other locations,Mumbai
BA Continuum,3.9,1700,IT Services & Consulting,Hyderabad +17 other locations,Hyderabad
HERE Technologies,3.8,1600,IT Services & Consulting,Mumbai +19 other locations,Mumbai
iOPEX Technologies,3.1,1600,IT Services & Consulting,Chennai +15 other locations,Chennai
XL Dynamics,3.6,1500,IT Services & Consulting,Mumbai +31 other locations,Mumbai
Sonata Software,3.4,1500,IT Services & Consulting,Bengaluru +17 other locations,Bengaluru
QualityKiosk Technologies,3.2,1500,IT Services & Consulting,Mumbai +22 other locations,Mumbai
HCL Infosystems,4.0,1500,IT Services & Consulting,Noida +104 other locations,Noida
Happiest Minds Technologies,3.4,1500,IT Services & Consulting,Bengaluru +17 other locations,Bengaluru
ALTEN,3.5,1500,IT Services & Consulting,Bengaluru +28 other locations,Bengaluru
Apexon,3.3,1500,IT Services & Consulting,Bengaluru +23 other locations,Bengaluru
Altimetrik,3.5,1500,IT Services & Consulting,Bengaluru +15 other locations,Bengaluru
VOIS,3.8,1400,IT Services & Consulting,Pune +21 other locations,Pune
Tieto,4.1,1400,IT Services & Consulting,Pune +13 other locations,Pune
Slk Software Services,3.2,1400,IT Services & Consulting,Bengaluru +15 other locations,Bengaluru
Vfs Global Services,3.4,1400,IT Services & Consulting,Mumbai +32 other locations,Mumbai
TEKsystems,3.1,1400,IT Services & Consulting,Bengaluru +18 other locations,Bengaluru
Tata Group,4.2,1400,IT Services & Consulting,Mumbai +167 other locations,Mumbai
Unisys,3.4,1400,IT Services & Consulting,Bengaluru +18 other locations,Bengaluru
IDC Technologies,3.1,1400,IT Services & Consulting,Noida +66 other locations,Noida
iMerit,3.2,1400,IT Services & Consulting,Kolkata +20 other locations,Kolkata
TCS iON,3.8,1400,IT Services & Consulting,Bengaluru +113 other locations,Bengaluru
Incedo,2.9,1400,IT Services & Consulting,Gurugram +13 other locations,Gurugram
R Systems International,3.7,1400,IT Services & Consulting,Noida +23 other locations,Noida
INDIUM,3.9,1400,IT Services & Consulting,Chennai +13 other locations,Chennai
Aforeserve,3.4,1400,IT Services & Consulting,Mumbai +160 other locations,Mumbai
Brillio,3.3,1300,IT Services & Consulting,Bengaluru +14 other locations,Bengaluru
DEXIT Global,3.5,1300,IT Services & Consulting,Mumbai +151 other locations,Mumbai
GEP Worldwide,3.6,1300,IT Services & Consulting,Mumbai +17 other locations,Mumbai
Globant,3.4,1300,IT Services & Consulting,Pune +17 other locations,Pune
Centre for Development of Advanced Computing,3.7,1300,IT Services & Consulting,Pune +43 other locations,Pune
Samsung Research,3.0,1300,IT Services & Consulting,Bengaluru +21 other locations,Bengaluru
T-Systems ICT India,3.7,1300,IT Services & Consulting,Pune +17 other locations,Pune
Dell EMC,3.8,1300,IT Services & Consulting,Bengaluru +54 other locations,Bengaluru
Prodapt,3.5,1200,IT Services & Consulting,Chennai +16 other locations,Chennai
Innova Solutions,3.3,1200,IT Services & Consulting,Hyderabad +37 other locations,Hyderabad
Onward Technologies Inc,2.8,1100,IT Services & Consulting,Pune +64 other locations,Pune
Innodata India Private Limited,3.7,1100,IT Services & Consulting,Noida +23 other locations,Noida
CALIBEHR,3.9,1100,IT Services & Consulting,Mumbai +185 other locations,Mumbai
Northcorp Software,4.8,1100,IT Services & Consulting,Gurugram +7 other locations,Gurugram
Aspire Systems,3.8,1100,IT Services & Consulting,Chennai +23 other locations,Chennai
Netcracker Technology,3.0,1100,IT Services & Consulting,Hyderabad +12 other locations,Hyderabad
ValueMomentum,3.2,1000,IT Services & Consulting,Hyderabad +11 other locations,Hyderabad
Allianz Technology,4.0,1000,IT Services & Consulting,Pune +14 other locations,Pune
Visionet Systems,3.3,1000,IT Services & Consulting,Bengaluru +17 other locations,Bengaluru
Bounteous x Accolite,3.2,1000,IT Services & Consulting,Bengaluru +15 other locations,Bengaluru
Vaco Binary Semantics,3.1,1000,IT Services & Consulting,Gurugram +49 other locations,Gurugram
VeeTechnologies,4.0,1000,IT Services & Consulting,Bengaluru +41 other locations,Bengaluru
Mastek,3.5,1000,IT Services & Consulting,Mumbai +23 other locations,Mumbai
Tiger Analytics,3.7,1000,IT Services & Consulting,Bengaluru +17 other locations,Bengaluru
Xebia,3.0,1000,IT Services & Consulting,Gurugram +23 other locations,Gurugram
Amazon Web Services,3.8,1000,IT Services & Consulting,Bengaluru +62 other locations,Bengaluru
Lumina Datamatics,3.2,1000,IT Services & Consulting,Mumbai +20 other locations,Mumbai
Quantiphi Analytics Solutions Private Limited,3.1,996,IT Services & Consulting,Bengaluru +18 other locations,Bengaluru
Entain,3.5,994,IT Services & Consulting,Hyderabad +13 other locations,Hyderabad
Softenger,3.9,995,IT Services & Consulting,Pune +32 other locations,Pune
Barclays Global Service Centre,3.9,983,IT Services & Consulting,Pune +13 other locations,Pune
Xceedance,3.5,966,IT Services & Consulting,Gurugram +14 other locations,Gurugram
Velocis Systems,3.8,955,IT Services & Consulting,New Delhi +54 other locations,New
Episource,3.9,952,IT Services & Consulting,Chennai +19 other locations,Chennai
Test Yantra Software Solutions,3.0,927,IT Services & Consulting,Bengaluru +19 other locations,Bengaluru
Nityo Infotech,3.2,917,IT Services & Consulting,Bengaluru +32 other locations,Bengaluru
ACL Digital,3.6,904,IT Services & Consulting,Bengaluru +28 other locations,Bengaluru
RAMTeCH Software Solutions,3.7,895,IT Services & Consulting,Hyderabad +35 other locations,Hyderabad
Integra Software Services,3.9,885,IT Services & Consulting,Puducherry +19 other locations,Puducherry
MOURI Tech,3.6,878,IT Services & Consulting,Hyderabad +10 other locations,Hyderabad
Future Focus Infotech,3.3,874,IT Services & Consulting,Bengaluru +58 other locations,Bengaluru
Torry Harris Integration Solutions,4.1,874,IT Services & Consulting,Bengaluru +10 other locations,Bengaluru
enGen Global,3.8,867,IT Services & Consulting,Chennai +6 other locations,Chennai
Precision Infomatic M Pvt Ltd,3.8,864,IT Services & Consulting,Chennai +90 other locations,Chennai
KGISL,3.0,861,IT Services & Consulting,Coimbatore +21 other locations,Coimbatore
Impact Infotech Pvt. Ltd.,3.4,859,IT Services & Consulting,Mumbai +76 other locations,Mumbai
AuthBridge Research Services,3.2,852,IT Services & Consulting,Gurugram +21 other locations,Gurugram
Medusind Solutions,3.5,842,IT Services & Consulting,Chennai +11 other locations,Chennai
Luxoft,3.6,843,IT Services & Consulting,Bengaluru +22 other locations,Bengaluru
Ascendion,3.2,835,IT Services & Consulting,Bengaluru +16 other locations,Bengaluru
Ford Business Solutions,4.1,832,IT Services & Consulting,Chennai +51 other locations,Chennai
Qualitest,3.6,823,IT Services & Consulting,Bengaluru +22 other locations,Bengaluru
Progressive Techserve,3.2,807,IT Services & Consulting,Noida +68 other locations,Noida
Zidio Development,4.4,804,IT Services & Consulting,Bengaluru +35 other locations,Bengaluru
Maveric Systems,3.3,800,IT Services & Consulting,Chennai +11 other locations,Chennai
Creative Synergies Group,3.9,792,IT Services & Consulting,Bengaluru +9 other locations,Bengaluru
People Tech Group,2.3,789,IT Services & Consulting,Hyderabad +13 other locations,Hyderabad
